DIC_ROCK_MERGIN,CATEGORY_MERGIN,RCS_TRANSLATION_CAPS,RCS_DESCRITPION,RCS_TRANSLATION_LOWERCASE,RCS_code,DigMap_All,ALL-COUNT,ROCK_HIERARCHY,Composite,RANK01_DESC,RANK02_CODE,RANK02_DESC,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,BASALTIC-ROCK,"Basaltic-rock - A type of mafite. In the Rock Classification Scheme, this class includes basalt and similar rocks. The term may be used as a field classification when an accurate mineral mode from thin section examination, or a chemical analysis, is not available. British Geological Survey Research Report RR/99/06, section 5.2 and figs. 17, 18.",Basaltic-rock,BAR,1097,1125,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,DIORITE,"Diorite - A type of dioritic-rock. In the Rock Classification Scheme, it is a coarse-grained crystalline igneous rock whose mineral mode plots in field 10 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. Diorite, gabbro and anorthosite are separated according to the average composition of their plagioclase and the proportion of mafic minerals (M): if M is greater than 10% and An (the anorthite content of plagioclase) is less than 50% the rock is diorite. British Geological Survey Research Report RR/99/06, section 5.1 and figs. 9, 11, 12.",Diorite,DI,676,868,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,DIORITE AND GABBRO,Diorite and gabbro,Diorite and gabbro,DIGB,601,601,CPST,COMPOSITE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,DUNITE,"Dunite - A type of peridotite. In the Rock Classification Scheme, it is a peridotite with olivine >90%, pyroxene <10% and hornblende <10% of olivine + pyroxene + hornblende. British Geological Survey Research Report RR/99/06, section 5.1 and figs. 15, 16.",Dunite,DUN,7,10,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,FELSITE,"Felsite - A type of fine-grained normal crystalline rock. It is a general term used for light-coloured aphanitic rocks. In the Rock Classification Scheme, the class includes rhyolitic-rock, dacitic-rock, and trachytic-rock. British Geological Survey Research Report RR/99/06, section 5.2 and fig. 17.",Felsite,FELS,6294,6373,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,GABBRO,"Gabbro - A type of gabbroic-rock. In the Rock Classification Scheme, it is a coarse-grained crystalline igneous rock whose mineral mode plots in field 10 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. Diorite, gabbro and anorthosite are separated according to the average composition of their plagioclase and the proportion of mafic minerals (M): if M is greater than 10% and An (the anorthite content of plagioclase) is greater than 50% the rock is gabbro. British Geological Survey Research Report RR/99/06, section 5.1 and figs. 9, 11, 12.",Gabbro,GB,769,861,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,GABBROIC-ROCK,"Gabbroic-rock - A type of coarse-grained normal crystalline rock. In the Rock Classification Scheme, this class includes gabbro, monzogabbro, and similar rocks. The term may be used as a field classification when an accurate mineral mode from thin section examination is not available. British Geological Survey Research Report RR/99/06, section 5.1 and figs. 9, 10.",Gabbroic-rock,GBR,88,97,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,GRANITE,"Granite - A type of granitic-rock. In the Rock Classification Scheme, it is a coarse-grained crystalline igneous rock whose mineral mode plots in field 3 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. Granite may be subdivided into syenogranite and monzogranite. British Geological Survey Research Report RR/99/06, section 5.1 and figs. 9, 11, 12.",Granite,GN,2739,3058,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,GRANITIC-ROCK,"Granitic-rock - A type of coarse-grained normal crystalline rock. In the Rock Classification Scheme, this class includes granite, granodiorite, tonalite, and similar rocks. The term may be used as a field classification when an accurate mineral mode from thin section examination is not available. British Geological Survey Research Report RR/99/06, section 5.1 and figs. 9, 10.",Granitic-rock,GNR,831,866,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
DIC_ROCK_MERGIN,IGNEOUS ROCK,GRANODIORITE,"Granodiorite - A type of granitic-rock. In the Rock Classification Scheme, it is a coarse-grained crystalline igneous rock whose mineral mode plots in field 4 of the quartz - alkali feldspar - plagioclase - feldspathoid (QAPF) diagram. British Geological Survey Research Report RR/99/06, section 5.1 and figs. 9, 11, 12.",Granodiorite,GD,548,620,MAIN,SINGLE,IGNEOUS ROCK AND IGNEOUS SEDIMENT,CIR,CRYSTALLINE-IGNEOUS-ROCK,,,,,,,,,,,,,,,,,,,,,,,,
