"fid","line_type","category","description","translation","sec_attrib_list","comments","status","user_entered","date_entered","user_updated","date_updated"
,"air_photo_lineament","TERRAIN_LINE",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"concave_break_of_slope","TERRAIN_LINE",,,"asymmetry perpendicular to line","arrowheads denote uphill side","C","KIGL",26/11/2023 11:47:04,,
,"convex_break_of_slope","TERRAIN_LINE",,,"asymmetry perpendicular to line","arrowheads denote downhill side","C","KIGL",26/11/2023 11:47:04,,
,"dtm_lineament","TERRAIN_LINE",,,,,"C","KIGL",8/12/2023 15:23:50,,
,"form_line","TERRAIN_LINE",,,"asymmetry perpendicular to line",,"C","KIGL",26/11/2023 11:47:04,,
,"form_line_indicating_slope","TERRAIN_LINE",,,"asymmetry perpendicular to line",,"C","KIGL",26/11/2023 11:47:04,,
,"hollow_margin","TERRAIN_LINE",,,"asymmetry perpendicular to line","hachures point into hollow","C","KIGL",26/11/2023 11:47:04,,
,"linear_negative_feature","TERRAIN_LINE",,,,,"C","KIGL",26/11/2023 11:47:04,,
,"linear_positive_Feature_crestline","TERRAIN_LINE",,,,,"C","KIGL",26/11/2023 11:47:04,,
